,Name,Sale Price,Rating,Number of Reviews,Category,Sub-Category,Brand
62,"WELLIFE 350 Pieces Gold Plastic Dinnerware,Disposable Gold Lace Plates, Include:50 Dinner Plates,50 Dessert Plates, 50 Pre Rolled Napkins with Gold Silverware and 50 Cups",67.99,4.8,3037.0,Health & Household,Household Supplies,WELLIFE
63,"Thanksgiving Window Clings, Fall Leaf Window Decals, Autumn Static Cling Decorations, 240-Count by Iconikal",2.99,4.3,156.0,Home & Kitchen,Home Décor Products,Iconikal
64,"GIVE Thanks Extra Large Fabric Sign Poster Banner Backdrop for Thanksgiving Day Party Decorations with Pattern Pumpkin Maple Leaf Turkey Corn Fruit Welcome Autumn Hang Outdoor Indoor 43.3""x70.8""",6.99,4.6,241.0,Free returns are available for the shipping address you chose. You can return the item for any reason in new and unused condition: no shipping charges,Go to your orders and start the return,FECEDY
65,"Thanksgiving Party Supplies (112 pcs) Maple Leaf Theme Disposable Tableware Set, Thanksgiving Party Decoration",25.0,3.0,2.0,Home & Kitchen,Event & Party Supplies,Generic
66,"Beistle Fall Leaf Tablecover, 54” x 108” – Plastic Table Cloth, Rectangular Tablecloth, Table Covers for Party, Harvest Table Cloths, Fall Decorations, Autumn Table Cloth,Thanksgiving,Green,Orange,Red",7.5,4.3,1005.0,Toys & Games,Featured Categories,Beistle
67,[ 2 Pack & Timer ] TURNMEON 24 Inch Fall Lighted Maple Tree Thanksgiving Decorations with 48 LEDs Patent 3D Pumpkin Lights and Acorn Battery Operated Tabletop Artificial Tree Fall Decor Home Indoor,23.99,4.5,434.0,Home & Kitchen,Home Décor Products,TURNMEON
68,"DomeStar 50 PCS Thanksgiving Artificial Pumpkins and Gourds Set, 8 PCS Fake Pumpkins, 12 PCS Pinecones and Acorns, 30 PCS Fake Maple Leaves Fall Wedding Tables Centerpieces",15.99,4.2,4784.0,Home & Kitchen,Home Décor Products,DomeStar
70,Famoby Happy Thanksgiving Day Fabric Sign Poster Banner Backdrop Pumpkin Turkey Maple Leaf Pattern for Thanksgiving Day Photo Booth Background Party Decorations,6.99,4.6,36.0,Health & Household,Stationery & Gift Wrapping Supplies,Famoby
71,42Pcs Thanksgiving Decorations Pre-Assembled GIVE THANKS Banner Hanging Swirls for Indoor Outdoor Thanksgiving Decor Thanksgiving Decorations for Home,9.99,4.6,121.0,Home & Kitchen,Event & Party Supplies,Labrostar
72,"Sunvissh 2 Pack Fall Maple Leaf Garland 5.7Ft/Piece Artificial Autumn Maple Leaves Garland for Home Porch Thanksgiving Decorations, Indoor Outdoor Table Multicolor Fall Decor (Yellow&Orange)",9.99,0.0,0.0,Home & Kitchen,Home Décor Products,Sunvissh
73,"Ouddy Home Thanksgiving Headband and Eyeglasses, 20 PCS Thanksgiving Party Favors Turkey Headbands and Glasses, Thanksgiving Photo Booth Props Harvest Thanksgiving Decorations Accessories",8.72,4.6,3.0,Toys & Games,Party Supplies,Unknown
74,"Supernal 800pcs Gold Dinnerware Set,100pcs 10.25"" Gold Rim Dinner Plates,100pcs 7.5"" Gold Dessert Plates,400 Gold Plastic Silverware,100 Gold Cups,100 Gold Napkins,100 Guest Dinnerware",159.99,4.5,60.0,Health & Household,Household Supplies,supernal
75,"TURNMEON 8 Foot Giant Christmas Inflatable Black Santa Claus Decoration Outdoor, Blow up Santa Holds Gift Box with Built-in LED Lights 5 Tethers 9 Stakes Christmas Decorations Yard Lawn Garden Home",57.99,4.4,52.0,"Patio, Lawn & Garden",Outdoor Décor,TURNMEON
76,"Pooqla 6 ft 120 LED Christmas Lighted Birch Artificial Tree, Color Changing Light Up Tree with Remote, White Birch Tree for Indoor Outdoor Thanksgiving Holiday Party Home Yard Decoration RGB",99.99,4.3,202.0,Home & Kitchen,Home Décor Products,Pooqla
77,"FORUP Carved Give Thanks Turkey Decoration, Decorative Accessories Turkey, Pumpkins, Apples and Haystack for Autumn Fall Thanksgiving Harvest Home Decor",13.99,4.5,457.0,Home & Kitchen,Home Décor Products,Unknown
78,"3pack Fall Garland Maple Leaf Garland 5.9Ft/Piece Fall Maple Leaves Garland Hanging Vine Garlands Artificial Fall Autumn Foliage Garland Thanksgiving Christmas Decor (3, Fall)",19.99,4.4,16.0,Home & Kitchen,Seasonal Décor,HANDIC
79,[8 Lighting Modes & Timer] 2 Pack Fall Decor Total 26Ft 80LED Thanksgiving Decorations Enlarged Maple Leaves Fall Lights Battery Operated Waterproof Lights for Indoor Outdoor Autumn Halloween,17.99,4.6,22.0,Home & Kitchen,Seasonal Décor,Yiaht
80,"3 otters 18PCS Turkey Paper Eyeglasses, Thanksgiving Paper Glasses Thanksgiving Party Photo Booth Props for Kids Thanksgiving Party Decorations",5.99,5.0,2.0,Toys & Games,Featured Categories,Unknown
81,"Fibevon Fairy Lights Battery Operated, 12-Pack 7.2ft w/20 LED Mini Lights Waterproof String Lights for Mason Jar/Centerpiece Table/Bedroom/Wedding/Valentines/Christmas/Outdoors/Indoor Decoration",12.99,4.7,62.0,Home & Kitchen,Seasonal Décor,Fibevon
82,"Toyvian Halloween Pumpkin Pillows Thanksgiving Pumpkin Throw Pillow Fall Car Decor 3D Stuffed Pumpkin Pillows for Halloween Party Centerpieces Trick or Treat Velvet Pumpkins, 3pcs",30.79,0.0,0.0,Home & Kitchen,Bedding,Toyvian
83,"Etistta Set of 3 Thanksgiving Pumpkin Figurine Decor, Be Thankful, Be Joyful, Give Thanks, 6.5 inch Polyresin Fall Harvest Orange Pumpkin Sculptures for Home Tabletop Holiday Decorations",25.99,4.8,10.0,Home & Kitchen,Home Décor Products,Etistta
84,"Volens 24pcs Amber Votive Candle Holders for Table Centerpieces, Vintage Ribbed Glass Tealight Candle Holder Bulk for Fall Decor, Thanksgiving, Christmas, Wedding Party, and Home Decorations",29.99,4.4,31.0,Home & Kitchen,Home Décor Products,Volens
85,"6PCS Fall Maple Leaves Garland, Party Joy 5.6Ft Artificial Maple Leaf Autumn Garland Hanging Fall Vines Table Decorations Front Door Fall Decor Thanksgiving Decorations Decor Outside Indoor Decor",34.99,4.5,366.0,Home & Kitchen,Seasonal Décor,PARTY JOY
86,Pumpkin Maple Leaves Leaf Door Fall Decorations Porch Banner Fall Banner Autumn Thanksgiving Decorations Board Wall Hanging Farmhouse Supplies Pumpkin Porch Decorations Outdoor for Home Office Holiday Decor,6.99,4.6,66.0,Home & Kitchen,Event & Party Supplies,FARMNALL
