,Name,Actual Price,Sale Price,Discount %,Rating,Number of Reviews,Category,Sub-Category,Brand
776,Transpac Fabric/Canvas 12 in. Multicolored Christmas Elegant Metallic Santa Decor,47.99,47.99,0.0,0.0,0,Christmas Decorations,Indoor Christmas Decorations,Transpac
777,"Sunnydaze Conrad the Bold Indoor Decorative Traditional Christmas Wooden Nutcracker Statue, 36-Inch",148.99,106.47,29.0,0.0,0,Christmas Decorations,Indoor Christmas Decorations,Sunnydaze Decor
778,Transpac Resin 10 in. Multicolored Christmas Classic Rustic Santa Decor,17.99,17.99,0.0,0.0,0,Christmas Decorations,Indoor Christmas Decorations,Transpac
779,Transpac Wood 9.8 in. Multicolored Christmas Faux Gift Block Decor Set of 3,32.99,32.99,0.0,0.0,0,Christmas Decorations,Indoor Christmas Decorations,Transpac
780,Transpac Resin 8.25 in. Multicolored Christmas /White Striped Gnome Decor,17.99,17.99,0.0,0.0,0,Christmas Decorations,Indoor Christmas Decorations,Transpac
781,Midlee Christmas Penguin Stairway Holiday Decoration,29.99,29.99,0.0,0.0,0,Christmas Decorations,Indoor Christmas Decorations,Midlee
782,Transpac Resin 14.5 in. White Christmas Snowman and Wreath Decor,112.99,112.99,0.0,0.0,0,Christmas Decorations,Indoor Christmas Decorations,Transpac
783,Transpac Resin Brown Christmas Merry Polar Bear Decor,15.99,15.99,0.0,0.0,0,Christmas Decorations,Indoor Christmas Decorations,Transpac
784,Transpac Resin 12 in. White Christmas Elegantly Carved Reindeer Decor,34.99,34.99,0.0,0.0,0,Christmas Decorations,Indoor Christmas Decorations,Transpac
785,Transpac Resin 11.5 in. Multicolored Christmas Whittled Rustic Santa Decor,25.99,25.99,0.0,0.0,0,Christmas Decorations,Indoor Christmas Decorations,Transpac
786,Transpac Resin Multicolored Christmas Snowman and Tree Decor,23.99,23.99,0.0,0.0,0,Christmas Decorations,Indoor Christmas Decorations,Transpac
787,Transpac Wood 19 in. Off-White Christmas Beaded Edge Tree Decor Set of 2,76.99,76.99,0.0,0.0,0,Christmas Decorations,Indoor Christmas Decorations,Transpac
788,Transpac Wood 36.2 in. Multicolored Christmas Layered Tree Porch Decor,48.99,48.99,0.0,0.0,0,Christmas Decorations,Indoor Christmas Decorations,Transpac
789,Transpac Metal 17.5 in. Multicolored Christmas Reindeer and Sled Decor,61.99,61.99,0.0,0.0,0,Christmas Decorations,Indoor Christmas Decorations,Transpac
790,Transpac Wood 20.5 in. Off-White Christmas Light Up Reindeer Decor,57.99,57.99,0.0,0.0,0,Christmas Decorations,Indoor Christmas Decorations,Transpac
791,Transpac Resin 8.25 in. White Christmas Chilly Snowman Family Decor,29.99,29.99,0.0,0.0,0,Christmas Decorations,Indoor Christmas Decorations,Transpac
792,Transpac Resin 11.5 in. Green Christmas Light Up Nativity Decor,42.99,42.99,0.0,0.0,0,Christmas Decorations,Indoor Christmas Decorations,Transpac
793,Transpac Wood 24 in. Multicolor Christmas Snowflake Cutout Tree Decor Set of 2,95.99,95.99,0.0,0.0,0,Christmas Decorations,Indoor Christmas Decorations,Transpac
794,Transpac Resin 14 in. Tan Christmas Retro Wheeled Horse Decor,93.99,93.99,0.0,0.0,0,Christmas Decorations,Indoor Christmas Decorations,Transpac
795,"Sunnydaze Noah the Harmonious Indoor Decorative Traditional Christmas Wooden Nutcracker Statue, 35.75-Inch",161.99,115.47,29.0,5.0,5,Christmas Decorations,Indoor Christmas Decorations,Sunnydaze Decor
796,"Bigtime Signs 9""x12'' PVC Chicken Decor Sign - Christmas Yard Decorations & Coop Accessories",9.99,6.99,30.0,0.0,0,Wall Decor,Wall Art,Bigtime Signs
797,"Christmas By Krebs - 67mm/2.625"" Decorated Glass Balls Ornaments [4 Pieces]",19.99,19.99,0.0,4.5,2,Christmas,Christmas Ornaments,Christmas By Krebs
798,"Northlight 36"" White and Red Light Glistening Rocking Horse Christmas Yard Art Decor",199.99,168.99,16.0,5.0,1,Christmas,Christmas Decor Ideas,Northlight
799,"Northlight 32"" LED Lighted Peanuts Snoopy and Christmas Tree Outdoor Decoration - Clear Lights",179.99,158.99,12.0,0.0,0,Christmas,Christmas Decor Ideas,Northlight
