,Name,Actual Price,Sale Price,Discount %,Rating,Number of Reviews,Category,Sub-Category,Brand
89,Northlight 19-Inch Plush Tabletop Christmas Decoration Gnome with Red and White Striped Hat,$21.49,$18.99,12%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Northlight
90,"Mr. Christmas 43"" Santa Claus Cherry Picker Animated Musical Christmas Decoration",$119.99,$69.99,42%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Mr. Christmas
91,"Mr. Christmas Festive Ceramic LED Nutcracker With Drum Christmas Decoration - 12""",$49.99,$34.99,30%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Mr. Christmas
92,"Northlight 8"" Glossy Red Standing Reindeer Christmas Decoration",$21.49,$18.99,12%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Northlight
93,"Northlight 14"" Gray and White Sitting Tabletop Gnome Christmas Decoration",$21.49,$18.99,12%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Northlight
94,"Northlight 17-Inch Red, Gray, and White Lodge-Style Tabletop Gnome Christmas Decoration",$25.99,$22.79,12%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Northlight
95,"Northlight 5"" Red and White Santa Gnome with Polka Dot Hat Tabletop Christmas Decoration",$11.49,$8.99,22%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Northlight
96,"Northlight 18.5"" Brown and White Sitting Tabletop Gnome Christmas Decoration",$21.49,$18.99,12%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Northlight
97,Mr. Christmas LED Singing Sculpture Santa Motion Activated Outdoor Christmas Decoration,$153.99,$109.99,29%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Mr. Christmas
98,"Northlight 18"" LED Lighted Rustic Glittered Birds on a Snowy Log Christmas Decoration",$57.99,$47.99,17%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Northlight
99,"Northlight 12.5"" Skiing Gnome with Green Knit Hat Christmas Decoration",$31.89,$26.39,17%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Northlight
100,"Northlight 17.5"" Gnome with Purple and Blue Flip Sequin Hat Christmas Decoration",$34.99,$29.99,14%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Northlight
101,"Northlight 21"" Lighted Snowy Polar Bear in Red Plaid Scarf Outdoor Christmas Decoration",$88.99,$80.99,9%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Northlight
102,"Northlight 10"" Glittered Brown Kneeling Deer Christmas Decoration",$54.99,$46.79,15%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Northlight
103,"Northlight 18.5"" Plush Red and White Standing Tabletop Gnome Christmas Decoration",$34.79,$28.79,17%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Northlight
104,"Northlight 25.5"" Holy Family Nativity Scene Lighted Outdoor Christmas Decor",$54.99,$47.99,13%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Northlight
105,"Northlight 12"" LED Lighted White Skates with Floral Arrangement Christmas Decoration",$57.99,$47.99,17%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Northlight
106,"Northlight 7"" Santa Claus on Phonograph Musical Christmas Decoration",$57.99,$47.99,17%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Northlight
107,Mr. Christmas Animated LED Winter Wonderland Alpine Slalom Musical Christmas Decoration,$169.99,$89.99,47%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Mr. Christmas
108,Northlight 25-Inch Black and White Gnome Tabletop Christmas Decoration,$27.54,$22.79,17%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Northlight
109,"Northlight 23.5"" Winter Berry Pine Tree with Pine Cones in Jute Base Christmas Decoration",$49.29,$40.79,17%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Northlight
